image_path,image_id,category_id,label,class_idx,split
data\raw\train_mini\00044_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavata\41c2ba64-5a5f-438f-9f97-f2616a4f632b.jpg,1193734,44,Trichonephila clavata,0,train
data\raw\train_mini\00044_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavata\79124fcf-862f-4f86-81fd-35f59fcadf8a.jpg,2088407,44,Trichonephila clavata,0,train
data\raw\train_mini\00044_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavata\42fea6fd-74ea-425a-a3ac-47d21ed8a13f.jpg,2057844,44,Trichonephila clavata,0,train
data\raw\train_mini\00044_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavata\98a6e5da-7984-44d9-b669-99bbd0bf0737.jpg,1193967,44,Trichonephila clavata,0,train
data\raw\train_mini\00044_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavata\f41adc19-714c-4150-b01c-7338dd45974b.jpg,1233980,44,Trichonephila clavata,0,train
data\raw\train_mini\00044_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavata\5420e975-4018-4a65-bfc4-fadb5cd7a9d8.jpg,2106211,44,Trichonephila clavata,0,train
data\raw\train_mini\00044_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavata\6b5c5bfb-f2ef-4dcb-8514-70102c8ff84f.jpg,1805964,44,Trichonephila clavata,0,train
data\raw\train_mini\00044_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavata\7f41fe22-ae4c-4e75-bb41-d2c4401bee85.jpg,2215935,44,Trichonephila clavata,0,train
data\raw\train_mini\00044_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavata\23cd3dfb-4f49-4d07-b9e5-487ddaa4d270.jpg,2594407,44,Trichonephila clavata,0,train
data\raw\train_mini\00044_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavata\e8cedb3b-df4f-43b2-a6ad-36413978bc1a.jpg,2639332,44,Trichonephila clavata,0,train
