image_path,true_idx,true_label,pred_idx,pred_label,top5_idx
data\raw\val\05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana\f8b15262-9ab5-48fd-a2d4-0394074af07c.jpg,274,Cladophora columbiana,274,Cladophora columbiana,274 249 131 246 134
data\raw\val\08492_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Lamiaceae_Salvia_mellifera\58d99ec9-7c8c-452e-a1dc-a8b710821da2.jpg,418,Salvia mellifera,418,Salvia mellifera,418 287 365 444 455
data\raw\val\02951_Animalia_Chordata_Amphibia_Anura_Bufonidae_Bufo_bankorensis\bcaeec6d-8a5a-4985-9ce3-97e9b55e0e24.jpg,139,Bufo bankorensis,139,Bufo bankorensis,139 144 138 268 249
data\raw\val\06229_Plantae_Tracheophyta_Liliopsida_Poales_Bromeliaceae_Tillandsia_utriculata\6380f426-6f90-4d8d-9d54-15d7faade6fb.jpg,293,Tillandsia utriculata,293,Tillandsia utriculata,293 376 280 435 467
data\raw\val\02704_Animalia_Arthropoda_Malacostraca_Decapoda_Cancridae_Cancer_borealis\2b1e98fd-1d46-4973-83f9-92c6aee33706.jpg,123,Cancer borealis,123,Cancer borealis,123 126 143 125 246
data\raw\val\05227_Animalia_Mollusca_Bivalvia_Myida_Pholadidae_Cyrtopleura_costata\cee67207-799f-4059-9dc2-be05aba88a91.jpg,247,Cyrtopleura costata,247,Cyrtopleura costata,247 251 125 130 128
data\raw\val\08882_Plantae_Tracheophyta_Magnoliopsida_Malpighiales_Violaceae_Melicytus_alpinus\6fc3ff02-8587-486d-9b3f-15f1a0ccb21e.jpg,442,Melicytus alpinus,442,Melicytus alpinus,442 437 313 359 468
data\raw\val\05186_Animalia_Cnidaria_Anthozoa_Actiniaria_Metridiidae_Metridium_senile\4cfbe7b6-c1da-407b-94c0-ddc5ca36b677.jpg,244,Metridium senile,244,Metridium senile,244 131 124 134 249
data\raw\val\05150_Animalia_Chordata_Reptilia_Testudines_Emydidae_Pseudemys_texana\d65c198a-007c-48b6-897f-77d149ec670e.jpg,241,Pseudemys texana,241,Pseudemys texana,241 143 242 142 219
data\raw\val\01293_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Plagodis_pulveraria\7bbc25b1-c208-4e60-a838-4c86b5c0b087.jpg,62,Plagodis pulveraria,62,Plagodis pulveraria,62 101 58 99 54
data\raw\val\08283_Plantae_Tracheophyta_Magnoliopsida_Gentianales_Apocynaceae_Vinca_minor\0884875f-12f7-448c-871c-2c11542dce1d.jpg,406,Vinca minor,406,Vinca minor,406 464 429 341 444
data\raw\val\08020_Plantae_Tracheophyta_Magnoliopsida_Fabales_Fabaceae_Medicago_lupulina\b76a9c46-fbe3-4cde-8923-725368825bf7.jpg,387,Medicago lupulina,387,Medicago lupulina,387 386 317 462 382
data\raw\val\04404_Animalia_Chordata_Aves_Pelecaniformes_Threskiornithidae_Platalea_flavipes\f2718ba8-6bbc-4e2b-ba52-86b86748c07a.jpg,202,Platalea flavipes,202,Platalea flavipes,202 203 204 205 201
data\raw\val\06773_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Erigeron_foliosus\f793441b-e195-48d3-8466-bbedeab588c0.jpg,323,Erigeron foliosus,323,Erigeron foliosus,323 337 444 329 409
data\raw\val\01501_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Lycaena_helloides\99d81d7b-4adb-4300-b91f-144dbe357d46.jpg,68,Lycaena helloides,68,Lycaena helloides,68 70 67 69 71
data\raw\val\00418_Animalia_Arthropoda_Insecta_Coleoptera_Zopheridae_Zopherus_nodulosus\d55e1b08-dfdf-456e-b180-99e908c122f3.jpg,24,Zopherus nodulosus,24,Zopherus nodulosus,24 80 44 127 32
data\raw\val\09677_Plantae_Tracheophyta_Magnoliopsida_Solanales_Convolvulaceae_Calystegia_sepium\639ce297-d27e-47bf-b094-ef79252bf485.jpg,485,Calystegia sepium,485,Calystegia sepium,485 447 477 405 383
data\raw\val\09142_Plantae_Tracheophyta_Magnoliopsida_Ranunculales_Berberidaceae_Berberis_aquifolium\d82521ef-3a5f-4ffd-adff-107d46febf3c.jpg,460,Berberis aquifolium,460,Berberis aquifolium,460 387 391 327 329
data\raw\val\07958_Plantae_Tracheophyta_Magnoliopsida_Fabales_Fabaceae_Erythrostemon_mexicanus\de1a9cc0-80d7-4c11-80f4-6f313ffae070.jpg,382,Erythrostemon mexicanus,382,Erythrostemon mexicanus,382 391 376 460 441
data\raw\val\09476_Plantae_Tracheophyta_Magnoliopsida_Rosales_Rosaceae_Rubus_saxatilis\69bf4aaf-9f57-4b81-8f58-f1600153a4a5.jpg,474,Rubus saxatilis,474,Rubus saxatilis,474 481 360 440 482
data\raw\val\06672_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Carduus_pycnocephalus\50015e80-6cf9-4631-a843-b714faae9563.jpg,318,Carduus pycnocephalus,318,Carduus pycnocephalus,318 384 319 320 303
data\raw\val\07822_Plantae_Tracheophyta_Magnoliopsida_Ericales_Polemoniaceae_Linanthus_dianthiflorus\e935cd02-66b0-41c0-9cff-84b32ac3ee80.jpg,371,Linanthus dianthiflorus,371,Linanthus dianthiflorus,371 449 424 446 444
data\raw\val\05768_Plantae_Marchantiophyta_Jungermanniopsida_Jungermanniales_Lepidoziaceae_Bazzania_trilobata\d8878011-0373-406f-8ce7-61550d337f33.jpg,275,Bazzania trilobata,275,Bazzania trilobata,275 492 493 274 246
data\raw\val\05570_Fungi_Basidiomycota_Agaricomycetes_Agaricales_Psathyrellaceae_Panaeolus_foenisecii\0ba2123b-25f2-402a-bd1e-768842d72720.jpg,263,Panaeolus foenisecii,263,Panaeolus foenisecii,263 260 265 296 304
data\raw\val\07913_Plantae_Tracheophyta_Magnoliopsida_Fabales_Fabaceae_Astragalus_danicus\6457cec4-433c-47cb-9748-e3054a9b0a41.jpg,378,Astragalus danicus,378,Astragalus danicus,378 426 423 417 290
data\raw\val\00053_Animalia_Arthropoda_Arachnida_Araneae_Desidae_Badumna_longinqua\9da6dc82-54e5-40f6-90ed-1e3505492751.jpg,2,Badumna longinqua,2,Badumna longinqua,2 7 5 6 1
