image_path,true_idx,true_label,pred_idx,pred_label,top5_idx
data\raw\val\08154_Plantae_Tracheophyta_Magnoliopsida_Fagales_Betulaceae_Carpinus_caroliniana\b543cc5d-2063-4ebc-bb8d-eee6daa2bca8.jpg,393,Carpinus caroliniana,191,Sitta carolinensis,191 186 236 393 120
data\raw\val\03135_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Buteo_swainsoni\968e7ddb-e9ab-4180-9a8c-6d114ca3e299.jpg,146,Buteo swainsoni,170,Lonchura punctulata,170 165 169 198 179
data\raw\val\07324_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Amaranthaceae_Celosia_argentea\780f8a37-cb10-4ebf-a7ab-c1b7eda0e7e7.jpg,346,Celosia argentea,324,Gnaphalium uliginosum,324 418 466 345 322
data\raw\val\04231_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Sicalis_luteola\1925a38d-cfb6-42bc-ba54-9d93031be628.jpg,195,Sicalis luteola,200,Ardea purpurea,200 226 211 185 178
data\raw\val\03848_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Hirundo_neoxena\e7c36924-81c4-4617-bd72-cb7e99c3e68d.jpg,172,Hirundo neoxena,171,Coccothraustes coccothraustes,171 172 157 173 167
data\raw\val\04883_Animalia_Chordata_Reptilia_Squamata_Anguidae_Elgaria_multicarinata\4ecc1ab2-21a6-4da8-9381-d7ac03c40a9a.jpg,228,Elgaria multicarinata,141,Boana rosenbergi,141 142 139 143 144
data\raw\val\03094_Animalia_Chordata_Amphibia_Caudata_Plethodontidae_Plethodon_serratus\537ccb10-6ebf-403b-8500-be2923be8c2f.jpg,145,Plethodon serratus,232,Nerodia floridana,232 235 228 230 229
data\raw\val\05576_Fungi_Basidiomycota_Agaricomycetes_Agaricales_Strophariaceae_Agrocybe_praecox\0aee7454-db33-4a51-9c86-9a0b6186930c.jpg,265,Agrocybe praecox,263,Panaeolus foenisecii,263 265 266 260 271
data\raw\val\09444_Plantae_Tracheophyta_Magnoliopsida_Rosales_Rosaceae_Rosa_bracteata\1de720f7-f04e-4dc5-ace8-463e1c4fd883.jpg,471,Rosa bracteata,370,Leptosiphon nuttallii,370 329 315 487 312
data\raw\val\04190_Animalia_Chordata_Aves_Passeriformes_Sittidae_Sitta_pygmaea\6ffcc981-5833-4113-af8b-6dbc5fc2c0f3.jpg,192,Sitta pygmaea,191,Sitta carolinensis,191 192 395 210 153
data\raw\val\07355_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Cactaceae_Cylindropuntia_thurberi\61c8f520-5663-4e61-9804-8d6ea7fb728f.jpg,348,Cylindropuntia thurberi,347,Cylindropuntia fulgida,347 348 353 299 354
data\raw\val\06049_Plantae_Tracheophyta_Liliopsida_Asparagales_Orchidaceae_Liparis_loeselii\fe704fe4-4dc1-49ef-9d3f-e6d876434df4.jpg,289,Liparis loeselii,342,Streptanthus tortuosus,342 343 463 289 407
data\raw\val\02739_Animalia_Arthropoda_Malacostraca_Decapoda_Sesarmidae_Aratus_pisonii\2f233598-9d81-4b30-9c5f-e80b58d33190.jpg,127,Aratus pisonii,140,Dendrobates auratus,140 127 3 176 236
data\raw\val\09584_Plantae_Tracheophyta_Magnoliopsida_Sapindales_Sapindaceae_Aesculus_glabra\84a70250-060a-4f6d-9138-d01f7ad63cf8.jpg,478,Aesculus glabra,94,Papilio troilus,94 85 86 71 87
data\raw\val\05375_Animalia_Mollusca_Gastropoda_Trochida_Tegulidae_Tegula_funebralis\655b2ed6-4073-4af0-b7ab-eb218795b2ff.jpg,255,Tegula funebralis,250,Tritia obsoleta,250 255 248 254 242
data\raw\val\06672_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Carduus_pycnocephalus\e4fbc64d-3ded-4ac0-81fe-adf88ee2cc8b.jpg,318,Carduus pycnocephalus,323,Erigeron foliosus,323 318 427 330 465
data\raw\val\01471_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Eooxylides_tharis\370a86a3-3640-454e-81b6-04847caf1c9e.jpg,65,Eooxylides tharis,66,Heliophorus ila,66 65 95 71 63
