image_path,true_idx,pred_idx,top5_idx,top1_confidence,true_species,top1_correct,top5_correct
data\raw\val\06246_Plantae_Tracheophyta_Liliopsida_Poales_Cyperaceae_Carex_hystericina\8fd39958-163b-4771-b0f9-9d95b57ac991.jpg,297,297,297 335 281 326 322,0.0453843101859092,Carex hystericina,True,True
data\raw\val\00830_Animalia_Arthropoda_Insecta_Hymenoptera_Vespidae_Polistes_dominula\f93e6289-26a9-4d9e-bb66-cc49ef9336cb.jpg,38,38,38 201 428 169 143,0.0458407513797283,Polistes dominula,True,True
data\raw\val\05601_Fungi_Basidiomycota_Agaricomycetes_Boletales_Boletaceae_Imleria_badia\dffa3e5b-e649-47bb-b735-c5c1735a6aaa.jpg,267,267,267 261 258 235 223,0.0511024743318557,Imleria badia,True,True
data\raw\val\05186_Animalia_Cnidaria_Anthozoa_Actiniaria_Metridiidae_Metridium_senile\9f746af0-64eb-4de1-9af9-a7f6f2823a69.jpg,244,244,244 251 245 99 81,0.0512147508561611,Metridium senile,True,True
data\raw\val\03958_Animalia_Chordata_Aves_Passeriformes_Motacillidae_Anthus_hodgsoni\7777e48e-671b-444f-b902-2ca2390e0a41.jpg,179,179,179 200 107 108 106,0.0608277283608913,Anthus hodgsoni,True,True
data\raw\val\04413_Animalia_Chordata_Aves_Pelecaniformes_Threskiornithidae_Threskiornis_melanocephalus\51861d0a-c1fb-47f9-b591-1a75669ca833.jpg,205,205,205 159 54 147 152,0.0611029230058193,Threskiornis melanocephalus,True,True
data\raw\val\09677_Plantae_Tracheophyta_Magnoliopsida_Solanales_Convolvulaceae_Calystegia_sepium\a48beb88-1c48-491d-abd1-c2c33c85156a.jpg,485,485,485 471 231 61 452,0.0623376220464706,Calystegia sepium,True,True
data\raw\val\03160_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Haliaeetus_albicilla\02394e50-660a-416a-80e7-9e593ce1921f.jpg,148,148,148 245 154 172 122,0.0647946670651435,Haliaeetus albicilla,True,True
data\raw\val\02807_Animalia_Chordata_Actinopterygii_Perciformes_Centrarchidae_Micropterus_dolomieu\85164417-18f9-4720-9c7d-ae23aab0a0e8.jpg,130,130,130 247 393 254 218,0.0648292005062103,Micropterus dolomieu,True,True
data\raw\val\03346_Animalia_Chordata_Aves_Charadriiformes_Burhinidae_Burhinus_grallarius\324ac794-aee1-400f-ab0e-159a04c781cc.jpg,156,156,156 212 225 179 169,0.0660812556743621,Burhinus grallarius,True,True
data\raw\val\08882_Plantae_Tracheophyta_Magnoliopsida_Malpighiales_Violaceae_Melicytus_alpinus\e94bbc12-3308-4fde-ac8b-779e5b46e656.jpg,442,442,442 178 73 234 349,0.0665850639343261,Melicytus alpinus,True,True
data\raw\val\05086_Animalia_Chordata_Reptilia_Squamata_Scincidae_Trachylepis_striata\909b84e4-438f-4fc4-9d53-ca2f1ec09ac4.jpg,239,239,239 233 237 74 156,0.0669153779745101,Trachylepis striata,True,True
data\raw\val\04811_Animalia_Chordata_Mammalia_Rodentia_Hystricidae_Hystrix_africaeaustralis\f343e2c1-78de-4b84-80ae-026413778432.jpg,223,223,223 132 230 136 239,0.0672129541635513,Hystrix africaeaustralis,True,True
data\raw\val\04722_Animalia_Chordata_Mammalia_Chiroptera_Emballonuridae_Rhynchonycteris_naso\ff95694a-fba5-4eea-b2f8-fa4123f0ae24.jpg,218,218,218 96 395 67 393,0.0679363682866096,Rhynchonycteris naso,True,True
data\raw\val\03147_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Circus_pygargus\25d35085-2bf2-4d91-9ced-d6b648708f34.jpg,147,147,147 159 205 148 108,0.0681301057338714,Circus pygargus,True,True
data\raw\val\02047_Animalia_Arthropoda_Insecta_Lepidoptera_Pieridae_Anteos_maerula\f25c3c09-c2e1-4f28-9642-813b26d6a251.jpg,95,95,95 96 453 408 448,0.0693363025784492,Anteos maerula,True,True
data\raw\val\08852_Plantae_Tracheophyta_Magnoliopsida_Malpighiales_Phyllanthaceae_Bischofia_javanica\2e26df50-c68b-4947-b332-92c402525151.jpg,440,440,440 486 168 451 312,0.0704404488205909,Bischofia javanica,True,True
data\raw\val\01875_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Hipparchia_statilinus\122e973f-0efb-43e4-a6a6-3e620f855a43.jpg,83,83,83 6 7 238 243,0.0733090341091156,Hipparchia statilinus,True,True
data\raw\val\02785_Animalia_Chordata_Actinopterygii_Gobiesociformes_Gobiesocidae_Gobiesox_maeandricus\a457aeab-371c-482e-978c-347535f3b314.jpg,129,129,129 227 133 269 274,0.07925945520401,Gobiesox maeandricus,True,True
data\raw\val\04250_Animalia_Chordata_Aves_Passeriformes_Tityridae_Pachyramphus_aglaiae\e3317f14-04b6-4b52-b05f-85b6617f425f.jpg,198,198,198 196 185 169 37,0.0801739618182182,Pachyramphus aglaiae,True,True
