case_type,image_path,resolved_image_path,true_idx,true_species,csv_pred_idx,gradcam_pred_idx,pred_species,top1_confidence,prediction_matches_csv,gradcam_figure,pair_index
correct,data\raw\val\05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana\f8b15262-9ab5-48fd-a2d4-0394074af07c.jpg,data/raw/val/05765_Plantae_Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_columbiana/f8b15262-9ab5-48fd-a2d4-0394074af07c.jpg,274,Cladophora columbiana,274,274,Cladophora columbiana,0.9400954246520996,True,results/figures/gradcam/pretrained/correct/01_true_274_pred_274.png,
correct,data\raw\val\08492_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Lamiaceae_Salvia_mellifera\58d99ec9-7c8c-452e-a1dc-a8b710821da2.jpg,data/raw/val/08492_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Lamiaceae_Salvia_mellifera/58d99ec9-7c8c-452e-a1dc-a8b710821da2.jpg,418,Salvia mellifera,418,418,Salvia mellifera,0.3269835114479065,True,results/figures/gradcam/pretrained/correct/02_true_418_pred_418.png,
correct,data\raw\val\02951_Animalia_Chordata_Amphibia_Anura_Bufonidae_Bufo_bankorensis\bcaeec6d-8a5a-4985-9ce3-97e9b55e0e24.jpg,data/raw/val/02951_Animalia_Chordata_Amphibia_Anura_Bufonidae_Bufo_bankorensis/bcaeec6d-8a5a-4985-9ce3-97e9b55e0e24.jpg,139,Bufo bankorensis,139,139,Bufo bankorensis,0.4370320439338684,True,results/figures/gradcam/pretrained/correct/03_true_139_pred_139.png,
correct,data\raw\val\06229_Plantae_Tracheophyta_Liliopsida_Poales_Bromeliaceae_Tillandsia_utriculata\6380f426-6f90-4d8d-9d54-15d7faade6fb.jpg,data/raw/val/06229_Plantae_Tracheophyta_Liliopsida_Poales_Bromeliaceae_Tillandsia_utriculata/6380f426-6f90-4d8d-9d54-15d7faade6fb.jpg,293,Tillandsia utriculata,293,293,Tillandsia utriculata,0.9792363047599792,True,results/figures/gradcam/pretrained/correct/04_true_293_pred_293.png,
correct,data\raw\val\02704_Animalia_Arthropoda_Malacostraca_Decapoda_Cancridae_Cancer_borealis\2b1e98fd-1d46-4973-83f9-92c6aee33706.jpg,data/raw/val/02704_Animalia_Arthropoda_Malacostraca_Decapoda_Cancridae_Cancer_borealis/2b1e98fd-1d46-4973-83f9-92c6aee33706.jpg,123,Cancer borealis,123,123,Cancer borealis,0.5288568139076233,True,results/figures/gradcam/pretrained/correct/05_true_123_pred_123.png,
incorrect,data\raw\val\08154_Plantae_Tracheophyta_Magnoliopsida_Fagales_Betulaceae_Carpinus_caroliniana\b543cc5d-2063-4ebc-bb8d-eee6daa2bca8.jpg,data/raw/val/08154_Plantae_Tracheophyta_Magnoliopsida_Fagales_Betulaceae_Carpinus_caroliniana/b543cc5d-2063-4ebc-bb8d-eee6daa2bca8.jpg,393,Carpinus caroliniana,191,191,Sitta carolinensis,0.17210067808628082,True,results/figures/gradcam/pretrained/incorrect/01_true_393_pred_191.png,
incorrect,data\raw\val\03135_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Buteo_swainsoni\968e7ddb-e9ab-4180-9a8c-6d114ca3e299.jpg,data/raw/val/03135_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Buteo_swainsoni/968e7ddb-e9ab-4180-9a8c-6d114ca3e299.jpg,146,Buteo swainsoni,170,170,Lonchura punctulata,0.3047870695590973,True,results/figures/gradcam/pretrained/incorrect/02_true_146_pred_170.png,
incorrect,data\raw\val\07324_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Amaranthaceae_Celosia_argentea\780f8a37-cb10-4ebf-a7ab-c1b7eda0e7e7.jpg,data/raw/val/07324_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Amaranthaceae_Celosia_argentea/780f8a37-cb10-4ebf-a7ab-c1b7eda0e7e7.jpg,346,Celosia argentea,324,324,Gnaphalium uliginosum,0.17838862538337708,True,results/figures/gradcam/pretrained/incorrect/03_true_346_pred_324.png,
incorrect,data\raw\val\04231_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Sicalis_luteola\1925a38d-cfb6-42bc-ba54-9d93031be628.jpg,data/raw/val/04231_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Sicalis_luteola/1925a38d-cfb6-42bc-ba54-9d93031be628.jpg,195,Sicalis luteola,200,200,Ardea purpurea,0.12244047969579697,True,results/figures/gradcam/pretrained/incorrect/04_true_195_pred_200.png,
incorrect,data\raw\val\03848_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Hirundo_neoxena\e7c36924-81c4-4617-bd72-cb7e99c3e68d.jpg,data/raw/val/03848_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Hirundo_neoxena/e7c36924-81c4-4617-bd72-cb7e99c3e68d.jpg,172,Hirundo neoxena,171,171,Coccothraustes coccothraustes,0.650963544845581,True,results/figures/gradcam/pretrained/incorrect/05_true_172_pred_171.png,
