epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_macro_precision,val_macro_recall,val_macro_f1,learning_rate,epoch_time_sec
1,5.297782839202881,0.11045,0.25235,3.9564199684143064,0.2838,0.533,0.31236838511937315,0.28379999999999994,0.24473985990755945,0.0001,3766.3575727939606
2,3.7764996017456056,0.3222,0.5809,2.944388980102539,0.4256,0.6834,0.46181538362886293,0.42560000000000003,0.39796875440552676,9.939057285945933e-05,1330.3520379066467
3,3.0200149948120116,0.4425,0.6885,2.4468831615448,0.4928,0.7458,0.5313045002820618,0.49279999999999996,0.4733868502489188,9.757729755661012e-05,3604.4388501644135
4,2.5292217395782473,0.52025,0.75235,2.1762372383117676,0.5384,0.7764,0.5874074289512855,0.5384000000000001,0.5269688322356358,9.460482294732422e-05,490.6322190761566
5,2.2007748447418214,0.5747,0.7897,1.9367610000610351,0.5782,0.8088,0.6114173178021981,0.5781999999999999,0.5685979618688473,9.054634122155992e-05,7761.586415052414
6,1.948900201034546,0.61065,0.81995,1.8120506214141845,0.592,0.8252,0.6206066794298118,0.592,0.5827780787935899,8.550178566873411e-05,229.9055359363556
7,1.7668951011657714,0.6477,0.84015,1.6928252388000489,0.609,0.8272,0.6358037961769016,0.609,0.6020384184841421,7.959536998847744e-05,293.61522102355957
8,1.6052823822021485,0.6753,0.85605,1.6182216215133667,0.6298,0.8432,0.6613691158088856,0.6297999999999999,0.6253251615742622,7.297252973710758e-05,318.0198242664337
9,1.486122951889038,0.7005,0.87085,1.5501759441375733,0.643,0.851,0.6719417835798908,0.643,0.6393116697749385,6.579634122155991e-05,323.101420879364
10,1.3855839599609374,0.72005,0.87885,1.5035178001403808,0.6474,0.8544,0.669380875137934,0.6474,0.6428395940140837,5.824350601949144e-05,321.27824211120605
11,1.2813480209350585,0.74535,0.889,1.4747754148483276,0.6528,0.8566,0.6704346349718742,0.6527999999999999,0.6473172693514159,5.050000000000001e-05,329.92774200439453
12,1.2011606693267822,0.76085,0.9012,1.4472575736999511,0.6666,0.8618,0.6839197751766637,0.6666000000000001,0.6619949132243734,4.275649398050859e-05,2171.3977098464966
13,1.1242305248260498,0.7772,0.9078,1.4202439622879028,0.6668,0.8658,0.6842435243892675,0.6668,0.6635692467443073,3.520365877844011e-05,5310.78916311264
14,1.0786547788619996,0.7913,0.9141,1.395043384361267,0.6754,0.8676,0.6941932828007905,0.6754000000000001,0.6726868105555878,2.8027470262892444e-05,231.4452929496765
15,1.0174354742050171,0.803,0.92075,1.3784926175117493,0.6772,0.8692,0.6938261919453096,0.6772,0.6731457245855106,2.1404630011522593e-05,253.175439119339
16,1.0018426141738892,0.8067,0.92145,1.3727900718688966,0.679,0.871,0.6943388846275843,0.679,0.6760888746188614,1.5498214331265904e-05,276.9754421710968
17,0.9827850887298584,0.8095,0.9258,1.3540288084030152,0.6846,0.8734,0.6980120505569422,0.6845999999999999,0.6815947516179768,1.0453658778440109e-05,290.962119102478
18,0.9565183526992798,0.8158,0.92585,1.3567894686698914,0.6812,0.8714,0.6963002107369755,0.6812,0.678486978378307,6.3951770526757955e-06,303.3754050731659
19,0.9381521574020386,0.82435,0.9264,1.3545399055480958,0.6812,0.8718,0.6950795861001743,0.6812,0.6785020168239053,3.422702443389901e-06,300.8284549713135
20,0.9366300316810607,0.8257,0.92875,1.350012934398651,0.6862,0.8744,0.6993235736485738,0.6862,0.6831963724735901,1.609427140540686e-06,296.3085038661957
