epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_macro_precision,val_macro_recall,val_macro_f1,learning_rate,epoch_time_sec
1,6.11088600730896,0.0049,0.0246,5.862726760864258,0.0128,0.048,0.0017454240370697776,0.012799999999999999,0.00204493749921071,0.0003,276.78062295913696
2,5.768135218048096,0.01305,0.0518,5.57103635559082,0.0216,0.0824,0.007098302068524968,0.0216,0.007069833260562115,0.0002991810233575568,285.97559809684753
3,5.570323069763184,0.0206,0.0835,5.368940600585938,0.0336,0.119,0.025625507620378095,0.033600000000000005,0.017649284576177045,0.0002967330663097039,320.38343691825867
4,5.397203231048584,0.0288,0.10905,5.220276156616211,0.0416,0.1496,0.03249290231827642,0.0416,0.02317577797448832,0.0002926829491861254,352.36807084083557
5,5.218474313735962,0.04255,0.143,4.952799486923218,0.064,0.2052,0.05313122190915596,0.064,0.03991126878492645,0.00028707504591756876,353.07018995285034
6,5.06365230255127,0.05695,0.17545,4.809076764678955,0.0798,0.2366,0.06674854598043589,0.0798,0.05383091565444656,0.00027997079786577355,388.5206620693207
7,4.905532292556763,0.07015,0.20495,4.694029344558716,0.089,0.2522,0.09047098255313715,0.089,0.0653214308208847,0.0002714480406590546,443.8898799419403
8,4.758143595886231,0.0846,0.2385,4.495159378433227,0.116,0.2996,0.11824707875218195,0.116,0.08908841368419615,0.0002616001514088704,399.4312150478363
9,4.603920712089539,0.0996,0.26855,4.420555241394043,0.1222,0.3146,0.11911273278455835,0.1222,0.09582957488882517,0.0002505350256506492,450.0174629688263
10,4.477166308784485,0.1135,0.29045,4.27233807106018,0.141,0.347,0.13922008547739695,0.141,0.11108423080826726,0.00023837389521772463,440.85864877700806
11,4.327780410194397,0.1329,0.3287,4.108048449707031,0.1614,0.3766,0.16739542762926368,0.16140000000000002,0.13671276263773752,0.00022524999999999992,401.13287591934204
12,4.217482699775696,0.14615,0.3505,4.0025218452453615,0.1754,0.4036,0.18266284741422129,0.1754,0.14880451002227282,0.0002113071281398321,348.24753189086914
13,4.085043968582153,0.16805,0.38075,3.9078179473876955,0.185,0.4192,0.18816714556486602,0.185,0.15741027765143492,0.00019669804065905458,314.03621196746826
14,3.9691678127288816,0.1841,0.4016,3.8417602352142333,0.2076,0.4372,0.237244226627614,0.2076,0.1885794305000663,0.00018158279777725494,328.5632891654968
15,3.8611257383346556,0.1985,0.42295,3.7920929986953738,0.2148,0.4564,0.22487548939442661,0.21480000000000002,0.19046922069039293,0.00016612700525851415,327.66222500801086
16,3.778139617729187,0.2084,0.44275,3.6315094470977782,0.2326,0.4754,0.2615236985788629,0.23260000000000003,0.2134419434441026,0.0001505,320.6916551589966
17,3.654862462615967,0.22845,0.4673,3.5725459497451784,0.2406,0.4902,0.23551483678546184,0.24060000000000004,0.21550449758073184,0.0001348729947414858,299.96986985206604
18,3.5524586641311644,0.24615,0.48665,3.578921149635315,0.256,0.5036,0.2694170968998178,0.256,0.2347280134018485,0.00011941720222274492,329.85760283470154
19,3.479153847694397,0.25605,0.5043,3.406353332901001,0.2734,0.522,0.2810610692834266,0.2734,0.25362510650573056,0.00010430195934094534,340.45393109321594
20,3.4127226919174194,0.2685,0.5166,3.378271354675293,0.284,0.5254,0.29251203210231574,0.284,0.26092663441854536,8.969287186016786e-05,335.8583040237427
21,3.3355894170761107,0.28255,0.53305,3.3537512645721437,0.2866,0.5322,0.29511117086584965,0.28659999999999997,0.2684451664486542,7.575000000000001e-05,307.0290172100067
22,3.2565825249671936,0.29775,0.54875,3.268435181045532,0.2956,0.5464,0.2989504292757891,0.29560000000000003,0.2758027243176673,6.262610478227527e-05,307.5128891468048
23,3.1919194478034973,0.30595,0.5576,3.2716277864456176,0.2996,0.547,0.3033649268526775,0.29960000000000003,0.2833902113963351,5.046497434935074e-05,288.8093922138214
24,3.157742903804779,0.31445,0.5633,3.2155864311218263,0.3088,0.556,0.3045757062800127,0.3088,0.2889081878508322,3.939984859112959e-05,312.9378271102905
25,3.103068392372131,0.32355,0.57845,3.1979880651474,0.3132,0.565,0.3050952515159569,0.3132,0.29220359670040225,2.9551959340945373e-05,291.1784448623657
26,3.066963857460022,0.332,0.58745,3.18509858417511,0.3158,0.5634,0.31319010588057156,0.3158,0.2983184040789645,2.1029202134226415e-05,308.4956810474396
27,3.043615290641785,0.3337,0.5911,3.17477712020874,0.3104,0.562,0.30136107009866936,0.31039999999999995,0.2895699836762735,1.3924954082431155e-05,290.68929982185364
28,3.010065988063812,0.3419,0.5975,3.1497552268981934,0.3194,0.5674,0.3147838097634843,0.31939999999999996,0.3006218977064454,8.317050813874547e-06,326.0928101539612
29,2.9750986514091493,0.34825,0.6038,3.146538368988037,0.3156,0.5686,0.31170107233959304,0.31560000000000005,0.29743575142545275,4.26693369029605e-06,304.4684500694275
30,2.9863167085647584,0.34565,0.59845,3.15025189704895,0.3178,0.5704,0.30778055977910806,0.3178,0.29716810470104404,1.8189766424431266e-06,308.40407967567444
