epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_macro_precision,val_macro_recall,val_macro_f1,learning_rate,epoch_time_sec
1,6.059512668991089,0.0075,0.03205,5.754760903930664,0.0144,0.0632,0.002485370384671227,0.014399999999999998,0.003179459253082305,0.0003,443.94417095184326
2,5.557805606079102,0.02045,0.07825,5.408036797332763,0.03,0.1204,0.015411552131165539,0.03,0.013942180572105157,0.0002991810233575568,409.3229389190674
3,5.2175736915588375,0.03765,0.13555,5.051359518432617,0.0536,0.1744,0.037727361629508176,0.0536,0.0317618678826977,0.0002967330663097039,373.75655722618103
4,4.888036690139771,0.06605,0.1989,4.781331873703003,0.0794,0.2384,0.06853205841759483,0.0794,0.053920465430084205,0.0002926829491861254,366.18245792388916
5,4.589460735702515,0.0938,0.26175,4.654131568527221,0.097,0.2704,0.097039615830939,0.097,0.07593561186561149,0.00028707504591756876,346.9132590293884
6,4.288997536277771,0.12785,0.3227,4.32521466293335,0.1286,0.3202,0.13988861053629773,0.1286,0.104752992839924,0.00027997079786577355,350.836021900177
7,3.993964874458313,0.16735,0.38725,4.206563299942016,0.1474,0.3532,0.1528064064249936,0.1474,0.12580845837916374,0.0002714480406590546,332.30852818489075
8,3.708314197921753,0.2016,0.44865,4.040545328903198,0.17,0.3948,0.1901687420294669,0.17,0.14842940580756658,0.0002616001514088704,324.27497029304504
9,3.422093271255493,0.2479,0.5094,3.950618545150757,0.1858,0.4152,0.2111944558835336,0.18580000000000002,0.16926496017312231,0.0002505350256506492,323.3423674106598
10,3.1069661262512205,0.29555,0.57145,3.8640466190338136,0.21,0.4396,0.2531791473430152,0.21,0.19582384835950345,0.00023837389521772463,319.7484188079834
11,2.7739003870010377,0.35395,0.64255,3.829566440200806,0.222,0.4522,0.2712213140415827,0.222,0.20698678051538677,0.00022524999999999992,312.49029994010925
12,2.414165662097931,0.42265,0.7141,3.8063720672607424,0.2244,0.4594,0.2626478450461354,0.22440000000000004,0.21049668442667696,0.0002113071281398321,321.8044719696045
13,2.0027334271907806,0.51215,0.7935,3.9709838539123536,0.2204,0.462,0.25721260852224875,0.2204,0.20771108665643925,0.00019669804065905458,304.5744791030884
14,1.6028851336956025,0.60725,0.8626,4.038942569351196,0.2198,0.4572,0.25072758050273275,0.2198,0.20959189711687254,0.00018158279777725494,318.1306481361389
15,1.1792972075462342,0.72175,0.92805,4.3838570678710935,0.2032,0.4278,0.2422331922567547,0.20320000000000002,0.19673568111670622,0.00016612700525851415,303.8656108379364
16,0.8181067431688309,0.82195,0.97055,4.359142485427856,0.2154,0.4342,0.25988946552816766,0.2154,0.21417198321451017,0.0001505,298.03000712394714
17,0.5559312121033668,0.89235,0.98725,4.6258689975738525,0.208,0.4244,0.2699841012802958,0.208,0.21179515851012365,0.0001348729947414858,307.8107588291168
18,0.3567342694222927,0.94475,0.9956,4.793981576728821,0.2062,0.4312,0.23770280659585175,0.2062,0.2001000408656618,0.00011941720222274492,319.9062762260437
19,0.24195687571167945,0.96825,0.9985,4.786785077667236,0.212,0.4264,0.24494958183045717,0.212,0.20925960322605258,0.00010430195934094534,314.13924193382263
20,0.1569627105474472,0.98425,0.99945,4.9611987815856935,0.2074,0.4178,0.23828276980249422,0.2074,0.20831075759889262,8.969287186016786e-05,318.94322085380554
21,0.1083538813367486,0.9924,0.9997,5.174736003112793,0.1954,0.4108,0.22398394516763284,0.19540000000000005,0.19432662938585946,7.575000000000001e-05,315.04617977142334
22,0.07586341501623392,0.9958,0.9999,5.039224883270264,0.2042,0.4234,0.22591471379198869,0.20420000000000002,0.20325616599208582,6.262610478227527e-05,306.15437388420105
23,0.055681907530874014,0.99775,0.9999,5.176927058792114,0.2104,0.4248,0.22922975429855433,0.2104,0.20625208365522943,5.046497434935074e-05,307.2603828907013
24,0.04280301928818226,0.99865,0.99995,5.170685046768188,0.2102,0.421,0.23281775416235104,0.2102,0.20919492707782408,3.939984859112959e-05,324.26549911499023
25,0.033258100788667797,0.9993,1.0,5.156807343292236,0.2108,0.423,0.23014757387365684,0.21080000000000002,0.2105641827470359,2.9551959340945373e-05,303.0529291629791
26,0.02679703954420984,0.9993,1.0,5.220295332336426,0.2102,0.4212,0.2281249519112825,0.21020000000000003,0.21043163576162893,2.1029202134226415e-05,302.9388732910156
