degradation,severity,top1_accuracy,top5_accuracy,macro_f1
clean,0.0,32.1,57.66,29.73
noise,0.05,31.44,56.98,29.23
noise,0.1,28.12,51.8,25.94
noise,0.2,17.28,35.64,15.88
blur,3.0,30.56,55.98,28.58
blur,5.0,22.64,46.34,21.04
blur,7.0,15.46,34.5,13.47
brightness,0.4,20.94,43.8,19.63
brightness,0.6,30.28,54.84,28.64
brightness,0.8,32.64,57.7,30.55
contrast,0.4,18.16,39.32,17.99
contrast,0.6,28.5,53.38,27.41
contrast,0.8,31.96,57.1,30.01
jpeg,20.0,30.36,55.42,28.15
jpeg,40.0,31.94,57.12,29.73
jpeg,70.0,32.08,57.56,29.79
