model,degradation,severity,top1_accuracy,top5_accuracy,macro_precision,macro_recall,macro_f1,metrics_json,severity_numeric,clean_top1_accuracy,clean_macro_f1,top1_absolute_drop,macro_f1_absolute_drop,top1_relative_drop_pct,macro_f1_relative_drop_pct,top1_retention_pct,macro_f1_retention_pct
traditional,noise,0.2,0.0392,0.1042,0.053532814166082,0.0392,0.0311544384442793,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_noise_0.2_metrics.json,0.2,0.1074,0.0981754121451276,0.0682,0.0670209737008483,63.50093109869647,68.26655700897358,36.49906890130354,31.73344299102643
scratch,noise,0.2,0.1728,0.3564,0.2251923576553363,0.1728,0.1588112958050288,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_noise_0.2_metrics.json,0.2,0.321,0.2973469803312652,0.1482,0.1385356845262364,46.16822429906542,46.590580597757544,53.83177570093458,53.409419402242456
pretrained,noise,0.2,0.1548,0.3172,0.3105887654113125,0.1548,0.1566436177648193,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_noise_0.2_metrics.json,0.2,0.6824,0.6794530054050938,0.5276000000000001,0.5228093876402745,77.31535756154749,76.94562883397249,22.684642438452517,23.05437116602751
traditional,blur,7.0,0.009,0.0326,0.0046802384585938,0.009,0.0042519130443731,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_blur_7_metrics.json,7.0,0.1074,0.0981754121451276,0.0984,0.0939234991007545,91.62011173184358,95.66906524610488,8.379888268156424,4.330934753895119
scratch,blur,7.0,0.1546,0.345,0.198778902044091,0.1546,0.1346622111718621,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_blur_7_metrics.json,7.0,0.321,0.2973469803312652,0.16640000000000002,0.1626847691594031,51.8380062305296,54.71209728720331,48.1619937694704,45.28790271279669
pretrained,blur,7.0,0.3298,0.5634,0.4253825314388775,0.3298,0.3312237491191164,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_blur_7_metrics.json,7.0,0.6824,0.6794530054050938,0.3526,0.3482292562859774,51.67057444314186,51.25141157898936,48.32942555685815,48.748588421010645
traditional,brightness,0.4,0.0412,0.1148,0.0743828764267391,0.0412,0.0404717172577984,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_brightness_0.4_metrics.json,0.4,0.1074,0.0981754121451276,0.0662,0.057703694887329196,61.63873370577281,58.77611677558209,38.36126629422719,41.22388322441791
scratch,brightness,0.4,0.2094,0.438,0.2781764739523567,0.2094,0.1962878830771779,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_brightness_0.4_metrics.json,0.4,0.321,0.2973469803312652,0.1116,0.10105909725408732,34.76635514018692,33.98692569250256,65.23364485981308,66.01307430749743
pretrained,brightness,0.4,0.6396,0.8386,0.6703997576431585,0.6396000000000001,0.6386792094121055,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_brightness_0.4_metrics.json,0.4,0.6824,0.6794530054050938,0.04280000000000006,0.04077379599298825,6.271981242672927,6.000973675681761,93.72801875732706,93.99902632431824
traditional,contrast,0.4,0.0428,0.115,0.0733692249823977,0.0428,0.0421295279317706,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_contrast_0.4_metrics.json,0.4,0.1074,0.0981754121451276,0.06459999999999999,0.056045884213356996,60.14897579143389,57.08749572704343,39.85102420856611,42.91250427295657
scratch,contrast,0.4,0.1816,0.3932,0.2663943274000432,0.1815999999999999,0.1799433574384797,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_contrast_0.4_metrics.json,0.4,0.321,0.2973469803312652,0.1394,0.11740362289278553,43.426791277258566,39.48371117204208,56.57320872274143,60.51628882795792
pretrained,contrast,0.4,0.6052,0.8234,0.6617977566228403,0.6052000000000001,0.6105520198547614,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_contrast_0.4_metrics.json,0.4,0.6824,0.6794530054050938,0.07720000000000005,0.06890098555033242,11.313012895662375,10.140655056673603,88.68698710433762,89.85934494332639
traditional,jpeg,20.0,0.0914,0.2202,0.0935131127909631,0.0914,0.0829249242578899,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_jpeg_20_metrics.json,20.0,0.1074,0.0981754121451276,0.016,0.015250487887237693,14.8975791433892,15.533917866006705,85.1024208566108,84.4660821339933
scratch,jpeg,20.0,0.3036,0.5542,0.2940877154781595,0.3036,0.2814614764045619,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/scratch_jpeg_20_metrics.json,20.0,0.321,0.2973469803312652,0.017400000000000027,0.015885503926703293,5.4205607476635596,5.34241306537088,94.57943925233644,94.65758693462912
pretrained,jpeg,20.0,0.6284,0.8302,0.6556040493476252,0.6284,0.6251706716317572,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/pretrained_jpeg_20_metrics.json,20.0,0.6824,0.6794530054050938,0.05400000000000005,0.05428233377333658,7.913247362250885,7.989122623863168,92.08675263774911,92.01087737613683
